animal,Species,Location,Vision,Overlap
Colobus_guereza,Colobus_guereza,Back,Di,yes
Colobus_guereza,Colobus_guereza,Cap,Tetra,yes
Colobus_guereza,Colobus_guereza,Cap,Tri,yes
Colobus_guereza,Colobus_guereza,Cap,Di,yes
Colobus_guereza,Colobus_guereza,Tail,Tetra,yes
Colobus_guereza,Colobus_guereza,Tail,Tri,yes
Colobus_guereza,Colobus_guereza,Tail,Di,yes
Erythrocebus_patas,Erythrocebus_patas,Back,Tetra,yes
Erythrocebus_patas,Erythrocebus_patas,Back,Tri,yes
Erythrocebus_patas,Erythrocebus_patas,Back,Di,yes
Erythrocebus_patas,Erythrocebus_patas,Belly,Tetra,yes
Erythrocebus_patas,Erythrocebus_patas,Belly,Tri,yes
Erythrocebus_patas,Erythrocebus_patas,Belly,Di,yes
Erythrocebus_patas,Erythrocebus_patas,Cap,Tetra,yes
Erythrocebus_patas,Erythrocebus_patas,Cap,Tri,yes
Erythrocebus_patas,Erythrocebus_patas,Cap,Di,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Back,Tetra,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Back,Tri,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Back,Di,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Belly,Tetra,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Belly,Tri,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Belly,Di,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Cap,Tetra,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Cap,Tri,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Cap,Di,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Tail,Tetra,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Tail,Tri,yes
Lophocebus_aterrimus,Lophocebus_aterrimus,Tail,Di,yes
Macaca_arctoides,Macaca_arctoides,Back,Tetra,yes
Macaca_arctoides,Macaca_arctoides,Back,Tri,yes
Macaca_arctoides,Macaca_arctoides,Back,Di,yes
Macaca_arctoides,Macaca_arctoides,Belly,Tetra,yes
Macaca_arctoides,Macaca_arctoides,Belly,Tri,yes
Macaca_arctoides,Macaca_arctoides,Belly,Di,yes
Macaca_arctoides,Macaca_arctoides,Cap,Tetra,yes
Macaca_arctoides,Macaca_arctoides,Cap,Tri,yes
Macaca_arctoides,Macaca_arctoides,Cap,Di,yes
Macaca_fascicularis,Macaca_fascicularis,Back,Tetra,yes
Macaca_fascicularis,Macaca_fascicularis,Back,Tri,yes
Macaca_fascicularis,Macaca_fascicularis,Back,Di,yes
Macaca_fascicularis,Macaca_fascicularis,Belly,Tetra,yes
Macaca_fascicularis,Macaca_fascicularis,Belly,Tri,yes
Macaca_fascicularis,Macaca_fascicularis,Belly,Di,yes
Macaca_fascicularis,Macaca_fascicularis,Cap,Tetra,yes
Macaca_fascicularis,Macaca_fascicularis,Cap,Tri,yes
Macaca_fascicularis,Macaca_fascicularis,Cap,Di,yes
Macaca_fascicularis,Macaca_fascicularis,Tail,Tetra,yes
Macaca_fascicularis,Macaca_fascicularis,Tail,Tri,yes
Macaca_fascicularis,Macaca_fascicularis,Tail,Di,yes
Macaca_mulatta,Macaca_mulatta,Back,Tetra,yes
Macaca_mulatta,Macaca_mulatta,Back,Tri,yes
Macaca_mulatta,Macaca_mulatta,Back,Di,yes
Macaca_mulatta,Macaca_mulatta,Belly,Tetra,yes
Macaca_mulatta,Macaca_mulatta,Belly,Tri,yes
Macaca_mulatta,Macaca_mulatta,Belly,Di,yes
Macaca_mulatta,Macaca_mulatta,Cap,Tetra,no
Macaca_mulatta,Macaca_mulatta,Cap,Tri,no
Macaca_mulatta,Macaca_mulatta,Cap,Di,yes
Macaca_mulatta,Macaca_mulatta,Tail,Tetra,no
Macaca_mulatta,Macaca_mulatta,Tail,Tri,no
Macaca_mulatta,Macaca_mulatta,Tail,Di,no
Papio_anubis,Papio_anubis,Back,Tetra,yes
Papio_anubis,Papio_anubis,Back,Tri,yes
Papio_anubis,Papio_anubis,Back,Di,yes
Papio_anubis,Papio_anubis,Belly,Tetra,no
Papio_anubis,Papio_anubis,Belly,Tri,yes
Papio_anubis,Papio_anubis,Belly,Di,yes
Papio_anubis,Papio_anubis,Tail,Tetra,no
Papio_anubis,Papio_anubis,Tail,Tri,no
Papio_anubis,Papio_anubis,Tail,Di,yes
Piliocolobus_badius,Piliocolobus_badius,Back,Tetra,no
Piliocolobus_badius,Piliocolobus_badius,Back,Tri,no
Piliocolobus_badius,Piliocolobus_badius,Back,Di,yes
Piliocolobus_badius,Piliocolobus_badius,Belly,Tetra,yes
Piliocolobus_badius,Piliocolobus_badius,Belly,Tri,yes
Piliocolobus_badius,Piliocolobus_badius,Belly,Di,yes
Piliocolobus_badius,Piliocolobus_badius,Cap,Tetra,yes
Piliocolobus_badius,Piliocolobus_badius,Cap,Tri,yes
Piliocolobus_badius,Piliocolobus_badius,Cap,Di,yes
Piliocolobus_badius,Piliocolobus_badius,Tail,Tetra,no
Piliocolobus_badius,Piliocolobus_badius,Tail,Tri,no
Piliocolobus_badius,Piliocolobus_badius,Tail,Di,yes
Pygathrix_nemaeus,Pygathrix_nemaeus,Back,Tetra,yes
Pygathrix_nemaeus,Pygathrix_nemaeus,Back,Tri,yes
Pygathrix_nemaeus,Pygathrix_nemaeus,Back,Di,yes
Pygathrix_nemaeus,Pygathrix_nemaeus,Belly,Tetra,yes
Pygathrix_nemaeus,Pygathrix_nemaeus,Belly,Tri,yes
Pygathrix_nemaeus,Pygathrix_nemaeus,Belly,Di,yes
Semnopithecus_entellus,Semnopithecus_entellus,Back,Tetra,yes
Semnopithecus_entellus,Semnopithecus_entellus,Back,Tri,yes
Semnopithecus_entellus,Semnopithecus_entellus,Back,Di,yes
Semnopithecus_entellus,Semnopithecus_entellus,Belly,Tetra,yes
Semnopithecus_entellus,Semnopithecus_entellus,Belly,Tri,yes
Semnopithecus_entellus,Semnopithecus_entellus,Belly,Di,yes
Semnopithecus_entellus,Semnopithecus_entellus,Cap,Tetra,yes
Semnopithecus_entellus,Semnopithecus_entellus,Cap,Tri,yes
Semnopithecus_entellus,Semnopithecus_entellus,Cap,Di,yes
Semnopithecus_entellus,Semnopithecus_entellus,Tail,Tetra,yes
Semnopithecus_entellus,Semnopithecus_entellus,Tail,Tri,yes
Semnopithecus_entellus,Semnopithecus_entellus,Tail,Di,yes
